seller_id,seller_name,region_id,shop_url,extracted_link
8647392030221304986,YUQIANMUYINGYOUPIN,MY,https://echotik.live/shops/8647392030221304986,https://www.tiktok.com/@weikaweika
8647001302233220144,Homec Cosy,VN,https://echotik.live/shops/8647001302233220144,https://www.tiktok.com/@homeccosy_vn
8646954219405608009,maapoka-ph,PH,https://echotik.live/shops/8646954219405608009,https://www.tiktok.com/@cynthia.miller94
8647230846954866145,NIUMO Store-SG,VN,https://echotik.live/shops/8647230846954866145,https://www.tiktok.com/@vn_niumoshop
7496039509975796003,ArcanaKey,TH,https://echotik.live/shops/7496039509975796003,https://www.tiktok.com/@arcanakey_th
8647344043601921633,PALERINDNESS,VN,https://echotik.live/shops/8647344043601921633,https://www.tiktok.com/@plns12
8646915894432334877,FOCALLURE.TH,TH,https://echotik.live/shops/8646915894432334877,https://www.tiktok.com/@focallure.th
8647554594719172408,Style Bag Spot,TH,https://echotik.live/shops/8647554594719172408,https://www.tiktok.com/@bag.174
8647065950347494767,LEFIGHT SPORTS,PH,https://echotik.live/shops/8647065950347494767,https://www.tiktok.com/@lefight.official
8648955159766140412,Kick Master,TH,https://echotik.live/shops/8648955159766140412,https://www.tiktok.com/@kickmaster_8
8647344121585436580,AllpartsOfficialShop,PH,https://echotik.live/shops/8647344121585436580,https://www.tiktok.com/@theallparts
8648595820924405401,ZHENYUEHUI,TH,https://echotik.live/shops/8648595820924405401,https://www.tiktok.com/@umbridges5867
8647059204347888786,star0527,VN,https://echotik.live/shops/8647059204347888786,https://www.tiktok.com/@vnstar0527
8647515554396014313,OAngelshop,PH,https://echotik.live/shops/8647515554396014313,https://www.tiktok.com/@oangelshop
8647820813898057007,Makeup Room,VN,https://echotik.live/shops/8647820813898057007,https://www.tiktok.com/@anli7837
8646912011922476171,INKARTLINK.PH,PH,https://echotik.live/shops/8646912011922476171,https://www.tiktok.com/@qianccvgn0x
8647956589942244899,huaxushouyao,TH,https://echotik.live/shops/8647956589942244899,https://www.tiktok.com/@pethealer666
8648393017699436219,SUNRISETC SHOP MY,MY,https://echotik.live/shops/8648393017699436219,https://www.tiktok.com/@sunriicn2if
8647066400483346363,Nilan Case Cover,PH,https://echotik.live/shops/8647066400483346363,https://www.tiktok.com/@nilan.official
8647477259026400545,Realfit Tech,SG,https://echotik.live/shops/8647477259026400545,https://www.tiktok.com/@realfit.sg
7495855645475703402,Z-K-LCD,PH,https://echotik.live/shops/7495855645475703402,https://www.tiktok.com/@zkgo.shop55
8647163542708258283,ANNIES Brand Store,VN,https://echotik.live/shops/8647163542708258283,https://www.tiktok.com/@annies7538
